Bot-Hole Latitude (NAD27),Bot-Hole Longitude (NAD27),Bot-Hole Easting (NAD27),Bot-Hole Northing (NAD27),Well Unique Identifier
56.01061,-116.35214,540395.5,6207236.1,409
56.0087,-116.36518,539584.5,6207016,410
56.0235,-116.38096,538585.8,6208654.2,411
56.03891,-116.41128,536681.5,6210352.9,412
56.0062,-116.55561,527712,6206644.4,413
56.0159,-117.75756,452770.9,6207894.5,414
56.01853,-117.98867,438367.3,6208368.6,415
56.01853,-117.98867,438367.3,6208368.6,416
56.01853,-117.98867,438367.3,6208368.6,417
55.98962,-118.77466,389291.3,6206131.9,418
55.98962,-118.77466,389291.3,6206131.9,419
55.98526,-118.90535,381125.8,6205863.2,420
56.01736,-118.99211,375817,6209588.1,421
56.01736,-118.99211,375817,6209588.1,422
56.04477,-119.79007,326209.9,6214359.6,423
56.07062,-119.8281,323959.6,6217331.8,424
56.07062,-119.8281,323959.6,6217331.8,425
56.00984,-119.99186,313476.5,6210999.7,426
56.00984,-119.99186,313476.5,6210999.7,427
56.06712,-120.1555,677076.6,6216984.7,428
56.04119,-120.33645,665926.4,6213649.8,429
56.04119,-120.33645,665926.4,6213649.8,430
55.16246,-120.27085,673857.2,6116054.9,431
55.16246,-120.27085,673857.2,6116054.9,432
55.16246,-120.27085,673857.2,6116054.9,433
